Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000044
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;01:01:29;10:47:02;04.10.2022;Y;09;53 54.44252 N;010 20.40940 E;55.854;103.4;151.93;12113.0;11.625;-55.875;6.889;205.70;8.8;66673
$;01:01:31;10:47:04;04.10.2022;Y;09;53 54.41604 N;010 20.42965 E;48.759;90.3;158.58;12122.5;11.875;-55.875;6.882;204.820;8.8;66673
$;01:01:33;10:47:06;04.10.2022;Y;09;53 54.39359 N;010 20.44373 E;40.362;74.7;158.33;12132.0;11.750;-56.125;6.866;204.479;8.8;66673
$;01:01:35;10:47:08;04.10.2022;Y;09;53 54.37244 N;010 20.46244 E;47.938;88.7;148.63;12141.8;11.750;-56.125;6.866;204.149;8.8;66673
$;01:01:37;10:47:10;04.10.2022;Y;09;53 54.34706 N;010 20.48730 E;55.894;103.5;151.56;12150.0;11.750;-56.250;6.874;203.860;8.8;66673
$;01:01:39;10:47:12;04.10.2022;Y;09;53 54.32067 N;010 20.50866 E;49.302;91.3;157.21;12159.7;11.625;-56.250;6.859;203.570;8.8;66673
$;01:01:41;10:47:14;04.10.2022;Y;09;53 54.29745 N;010 20.52498 E;43.531;80.6;156.55;12168.3;11.625;-56.375;6.844;203.380;8.8;66673
$;01:01:43;10:47:16;04.10.2022;Y;09;53 54.27368 N;010 20.54407 E;51.565;95.4;152.79;12178.0;11.500;-56.500;6.851;203.130;8.8;66673
$;01:01:45;10:47:18;04.10.2022;Y;09;53 54.24695 N;010 20.56865 E;55.766;103.2;150.14;12189.5;11.625;-56.375;6.836;202.710;8.8;66673
$;01:01:47;10:47:20;04.10.2022;Y;09;53 54.22340 N;010 20.59344 E;44.329;82.0;146.42;12201.7;11.500;-56.500;6.851;202.229;8.8;66673
$;01:01:49;10:47:22;04.10.2022;Y;09;53 54.20510 N;010 20.61217 E;36.192;67.0;153.21;12212.3;11.500;-56.500;6.851;201.990;8.8;66673
$;01:01:51;10:47:24;04.10.2022;Y;09;53 54.18398 N;010 20.62456 E;45.443;84.1;164.89;12222.9;11.625;-56.625;6.836;201.610;8.8;66673
$;01:01:53;10:47:26;04.10.2022;Y;09;53 54.15805 N;010 20.63949 E;52.111;96.5;156.75;12232.4;11.500;-56.625;6.836;201.279;8.8;66673
$;01:01:55;10:47:28;04.10.2022;Y;09;53 54.13429 N;010 20.66322 E;46.677;86.4;144.86;12242.4;11.500;-56.500;6.836;201.0;8.8;66673
$;01:01:57;10:47:30;04.10.2022;Y;09;53 54.11481 N;010 20.68370 E;37.738;69.8;154.20;12253.6;11.500;-56.750;6.866;200.619;8.8;66673
$;01:01:59;10:47:32;04.10.2022;Y;09;53 54.09335 N;010 20.69455 E;44.625;82.6;167.54;12264.0;11.500;-56.750;6.851;200.240;8.8;66673
$;01:02:01;10:47:34;04.10.2022;Y;09;53 54.06690 N;010 20.70855 E;53.697;99.4;157.23;12275.5;11.500;-56.875;6.859;199.869;8.8;66673
$;01:02:03;10:47:36;04.10.2022;Y;09;53 54.04195 N;010 20.73365 E;51.143;94.7;143.76;12285.9;11.250;-56.875;6.866;199.630;8.8;66673
$;01:02:05;10:47:38;04.10.2022;Y;09;53 54.01987 N;010 20.76091 E;48.810;90.3;146.66;12297.5;11.500;-56.750;6.866;199.259;8.8;66673
$;01:02:07;10:47:40;04.10.2022;Y;09;53 53.99605 N;010 20.78107 E;48.144;89.1;159.04;12314.6;11.375;-57.0;6.882;198.559;8.8;66673
$;01:02:09;10:47:42;04.10.2022;Y;09;53 53.97237 N;010 20.79545 E;43.265;80.1;158.75;12335.1;11.375;-56.875;6.874;197.910;8.8;66673
$;01:02:11;10:47:44;04.10.2022;Y;09;53 53.95172 N;010 20.81231 E;41.143;76.1;151.00;12356.3;11.250;-56.875;6.889;197.250;8.8;66673
$;01:02:13;10:47:46;04.10.2022;Y;09;53 53.93018 N;010 20.83248 E;47.760;88.4;153.15;12374.0;11.375;-57.0;6.897;196.740;8.8;66673
$;01:02:15;10:47:48;04.10.2022;Y;09;53 53.90466 N;010 20.84960 E;49.645;91.9;162.80;12385.4;11.375;-57.125;6.874;196.539;8.8;66673
$;01:02:17;10:47:50;04.10.2022;Y;09;53 53.88089 N;010 20.86125 E;39.130;72.4;162.60;12393.3;11.250;-57.0;6.866;196.259;8.8;66673
$;01:02:19;10:47:52;04.10.2022;Y;09;53 53.86292 N;010 20.87660 E;36.677;67.9;145.08;12402.6;11.250;-57.125;6.859;195.979;8.8;66673
$;01:02:21;10:47:54;04.10.2022;Y;09;53 53.84386 N;010 20.90130 E;49.647;91.9;142.45;12412.0;11.250;-57.125;6.882;195.639;8.8;66673
$;01:02:23;10:47:56;04.10.2022;Y;09;53 53.81889 N;010 20.92980 E;56.403;104.4;148.68;12420.2;11.250;-57.250;6.874;195.500;8.8;66673
$;01:02:25;10:47:58;04.10.2022;Y;09;53 53.79284 N;010 20.95602 E;52.632;97.4;149.05;12426.9;11.125;-57.375;6.874;195.220;8.8;66673
$;01:02:27;10:48:00;04.10.2022;Y;09;53 53.77043 N;010 20.98202 E;46.857;86.7;143.06;12435.9;11.125;-57.250;6.859;194.789;8.8;66673
$;01:02:29;10:48:02;04.10.2022;Y;09;53 53.75024 N;010 21.00626 E;43.147;79.9;147.12;12444.5;11.125;-57.250;6.851;194.690;8.8;66673
$;01:02:31;10:48:04;04.10.2022;Y;09;53 53.72876 N;010 21.02642 E;45.998;85.1;152.67;12454.2;11.250;-57.375;6.851;194.309;8.8;66673
$;01:02:33;10:48:06;04.10.2022;Y;09;53 53.70453 N;010 21.04991 E;53.342;98.7;147.84;12463.7;11.125;-57.375;6.866;194.80;8.8;66673
$;01:02:35;10:48:08;04.10.2022;Y;09;53 53.67933 N;010 21.07814 E;54.056;100.1;146.26;12471.6;11.125;-57.375;6.874;193.889;8.8;66673
$;01:02:37;10:48:10;04.10.2022;Y;09;53 53.65498 N;010 21.10292 E;49.261;91.2;150.77;12480.9;11.0;-57.375;6.866;193.520;8.8;66673
$;01:02:39;10:48:12;04.10.2022;Y;09;53 53.63148 N;010 21.12645 E;50.313;93.1;147.00;12490.2;11.0;-57.500;6.866;193.229;8.8;66673
$;01:02:41;10:48:14;04.10.2022;Y;09;53 53.60799 N;010 21.15491 E;52.936;98.0;142.95;12499.5;11.0;-57.500;6.874;192.949;8.8;66673
$;01:02:43;10:48:16;04.10.2022;Y;09;53 53.58517 N;010 21.18272 E;49.297;91.2;145.86;12509.5;11.0;-57.500;6.889;192.669;8.8;66673
$;01:02:45;10:48:18;04.10.2022;Y;09;53 53.56206 N;010 21.20822 E;51.490;95.3;147.56;12518.0;11.0;-57.500;6.882;192.389;8.8;66673
$;01:02:47;10:48:20;04.10.2022;Y;09;53 53.53617 N;010 21.23727 E;59.800;110.7;145.67;12527.0;10.875;-57.500;6.882;192.59;8.8;66673
$;01:02:49;10:48:22;04.10.2022;Y;09;53 53.50939 N;010 21.26788 E;56.132;103.9;146.46;12535.8;10.750;-57.625;6.882;191.869;8.8;66673
$;01:02:51;10:48:24;04.10.2022;Y;09;53 53.48513 N;010 21.29319 E;48.590;89.9;149.88;12544.9;10.875;-57.500;6.889;191.500;8.8;66673
$;01:02:53;10:48:26;04.10.2022;Y;09;53 53.46068 N;010 21.31670 E;54.038;100.0;150.39;12554.0;10.875;-57.625;6.897;191.309;8.8;66673
$;01:02:55;10:48:28;04.10.2022;Y;09;53 53.43302 N;010 21.34489 E;60.608;112.2;148.09;12562.0;10.875;-57.500;6.920;190.979;8.8;66673
$;01:02:57;10:48:30;04.10.2022;Y;09;53 53.40628 N;010 21.37479 E;54.260;100.4;146.15;12570.5;10.875;-57.625;6.912;190.740;8.8;66673
$;01:02:59;10:48:32;04.10.2022;Y;09;53 53.38250 N;010 21.40090 E;49.597;91.8;148.26;12578.9;10.875;-57.625;6.920;190.369;8.8;66673
$;01:03:01;10:48:34;04.10.2022;Y;09;53 53.35663 N;010 21.42594 E;58.253;107.8;151.46;12588.1;10.875;-57.625;6.943;190.50;8.8;66673
$;01:03:03;10:48:36;04.10.2022;Y;09;53 53.32711 N;010 21.45412 E;61.846;114.5;149.13;12596.4;10.625;-57.625;6.958;189.869;8.8;66673
$;01:03:05;10:48:38;04.10.2022;Y;09;53 53.30035 N;010 21.48341 E;53.509;99.0;144.98;12605.1;10.875;-57.500;6.966;189.679;8.8;66673
$;01:03:07;10:48:40;04.10.2022;Y;09;53 53.27763 N;010 21.51198 E;51.131;94.6;142.71;12613.3;10.750;-57.625;6.958;189.399;8.8;66673
$;01:03:09;10:48:42;04.10.2022;Y;09;53 53.25208 N;010 21.54179 E;60.832;112.6;147.85;12622.1;10.625;-57.500;6.973;189.80;8.8;66673
$;01:03:11;10:48:44;04.10.2022;Y;09;53 53.22134 N;010 21.57107 E;64.304;119.0;152.63;12630.6;10.750;-57.500;6.989;188.759;8.8;66673
$;01:03:13;10:48:46;04.10.2022;Y;09;53 53.19228 N;010 21.59578 E;53.381;98.8;152.84;12640.3;10.750;-57.625;7.11;188.479;8.8;66673
$;01:03:15;10:48:48;04.10.2022;Y;09;53 53.16885 N;010 21.61995 E;48.365;89.5;144.12;12647.9;10.500;-57.500;7.19;188.300;8.8;66673
$;01:03:17;10:48:50;04.10.2022;Y;09;53 53.14551 N;010 21.65076 E;58.518;108.3;142.94;12656.5;10.625;-57.375;7.27;187.979;8.8;66673
$;01:03:19;10:48:52;04.10.2022;Y;09;53 53.11601 N;010 21.68257 E;64.974;120.3;151.49;12664.4;10.500;-57.500;7.50;187.789;8.8;66673
$;01:03:21;10:48:54;04.10.2022;Y;09;53 53.08618 N;010 21.70657 E;54.336;100.6;156.42;12674.3;10.500;-57.625;7.80;187.470;8.8;66673
$;01:03:23;10:48:56;04.10.2022;Y;09;53 53.06109 N;010 21.72774 E;48.872;90.5;149.81;12680.2;10.625;-57.500;7.95;187.289;8.8;66673
$;01:03:25;10:48:58;04.10.2022;Y;09;53 53.03684 N;010 21.75561 E;57.599;106.6;143.95;12688.9;10.625;-57.500;7.103;186.960;8.8;66673
$;01:03:27;10:49:00;04.10.2022;Y;09;53 53.00991 N;010 21.78838 E;59.523;110.2;145.37;12696.3;10.500;-57.500;7.111;186.779;8.8;66673
$;01:03:29;10:49:02;04.10.2022;Y;09;53 52.98414 N;010 21.81616 E;51.303;95.0;148.88;12704.9;10.500;-57.500;7.111;186.550;8.8;66673
$;01:03:31;10:49:04;04.10.2022;Y;09;53 52.96025 N;010 21.83949 E;50.106;92.7;150.47;12712.0;10.500;-57.500;7.149;186.320;8.8;66673
$;01:03:33;10:49:06;04.10.2022;Y;09;53 52.93383 N;010 21.86477 E;59.046;109.3;150.35;12720.6;10.500;-57.375;7.164;185.899;8.8;66673
$;01:03:35;10:49:08;04.10.2022;Y;09;53 52.90493 N;010 21.89429 E;61.051;113.0;147.38;12728.9;10.500;-57.375;7.172;185.669;8.8;66673
$;01:03:37;10:49:10;04.10.2022;Y;09;53 52.87928 N;010 21.92457 E;52.367;96.9;142.80;12738.5;10.375;-57.375;7.172;185.440;8.8;66673
$;01:03:39;10:49:12;04.10.2022;Y;09;53 52.85734 N;010 21.95127 E;46.839;86.7;146.92;12746.7;10.500;-57.375;7.172;185.300;8.8;66673
$;01:03:41;10:49:14;04.10.2022;Y;09;53 52.83298 N;010 21.97251 E;52.531;97.2;156.76;12755.0;10.375;-57.500;7.202;184.979;8.8;66673
$;01:03:43;10:49:16;04.10.2022;Y;09;53 52.80564 N;010 21.99351 E;55.231;102.2;153.59;12762.8;10.375;-57.500;7.195;184.699;8.8;66673
$;01:03:45;10:49:18;04.10.2022;Y;09;53 52.78090 N;010 22.02030 E;51.367;95.1;142.83;12772.4;10.375;-57.375;7.210;184.380;8.8;66673
$;01:03:47;10:49:20;04.10.2022;Y;09;53 52.75989 N;010 22.04770 E;45.299;83.8;144.55;12780.9;10.250;-57.375;7.240;184.100;8.8;66673
$;01:03:49;10:49:22;04.10.2022;Y;09;53 52.73748 N;010 22.06737 E;47.646;88.2;158.28;12791.3;10.125;-57.375;7.233;183.860;8.8;66673
$;01:03:51;10:49:24;04.10.2022;Y;09;53 52.71014 N;010 22.08486 E;57.432;106.3;158.04;12799.0;10.250;-57.375;7.240;183.539;8.8;66673
$;01:03:53;10:49:26;04.10.2022;Y;09;53 52.68129 N;010 22.11038 E;58.423;108.1;147.81;12808.1;10.250;-57.375;7.248;183.360;8.8;66673
$;01:03:55;10:49:28;04.10.2022;Y;09;53 52.65759 N;010 22.13821 E;46.172;85.5;144.18;12816.2;10.250;-57.375;7.294;183.80;8.8;66673
$;01:03:57;10:49:30;04.10.2022;Y;09;53 52.63735 N;010 22.15753 E;41.847;77.5;156.53;12824.9;10.250;-57.375;7.301;182.850;8.8;66673
$;01:03:59;10:49:32;04.10.2022;Y;09;53 52.61231 N;010 22.17461 E;54.746;101.3;157.43;12833.7;10.125;-57.375;7.309;182.580;8.8;66673
$;01:04:01;10:49:34;04.10.2022;Y;09;53 52.58391 N;010 22.19826 E;57.354;106.2;151.42;12841.6;10.125;-57.250;7.332;182.399;8.8;66673
$;01:04:03;10:49:36;04.10.2022;Y;09;53 52.55837 N;010 22.22109 E;47.410;87.8;153.19;12852.1;10.125;-57.125;7.362;181.990;8.8;66673
$;01:04:05;10:49:38;04.10.2022;Y;09;53 52.53682 N;010 22.23925 E;40.892;75.7;152.67;12859.9;10.125;-57.250;7.385;181.710;8.8;66673
$;01:04:07;10:49:40;04.10.2022;Y;09;53 52.51641 N;010 22.25932 E;45.803;84.8;147.67;12868.8;10.125;-57.125;7.408;181.580;8.8;66673
$;01:04:09;10:49:42;04.10.2022;Y;09;53 52.49201 N;010 22.28386 E;55.465;102.7;152.33;12878.4;10.0;-57.125;7.439;181.169;8.8;66673
$;01:04:11;10:49:44;04.10.2022;Y;09;53 52.46377 N;010 22.30496 E;54.815;101.5;158.95;12886.9;10.125;-57.0;7.454;181.29;8.8;66673
$;01:04:13;10:49:46;04.10.2022;Y;09;53 52.43806 N;010 22.32295 E;46.396;85.9;154.96;12894.7;10.250;-57.0;7.469;180.750;8.8;66673
$;01:04:15;10:49:48;04.10.2022;Y;09;53 52.41734 N;010 22.34390 E;42.845;79.3;144.98;12903.1;10.0;-56.875;7.462;180.429;8.8;66673
$;01:04:17;10:49:50;04.10.2022;Y;09;53 52.39685 N;010 22.36617 E;44.944;83.2;151.08;12913.1;10.125;-57.0;7.492;180.199;8.8;66673
$;01:04:19;10:49:52;04.10.2022;Y;09;53 52.37367 N;010 22.38183 E;44.675;82.7;163.79;12921.4;10.0;-56.875;7.507;179.970;8.8;66673
$;01:04:21;10:49:54;04.10.2022;Y;09;53 52.35141 N;010 22.39107 E;38.765;71.7;165.39;12928.6;9.875;-56.875;7.523;179.649;8.8;66673
$;01:04:23;10:49:56;04.10.2022;Y;09;53 52.33235 N;010 22.40436 E;37.729;69.8;151.69;12937.5;10.0;-56.875;7.530;179.470;8.8;66673
$;01:04:25;10:49:58;04.10.2022;Y;09;53 52.31149 N;010 22.42319 E;47.601;88.1;153.65;12946.9;9.875;-56.875;7.553;179.100;8.8;66673
$;01:04:27;10:50:00;04.10.2022;Y;09;53 52.28572 N;010 22.44009 E;49.795;92.2;162.80;12956.6;9.875;-56.875;7.561;178.830;8.8;66673
$;01:04:29;10:50:02;04.10.2022;Y;09;53 52.26220 N;010 22.44995 E;38.059;70.4;168.49;12965.5;10.0;-56.875;7.553;178.639;8.8;66673
$;01:04:31;10:50:04;04.10.2022;Y;09;53 52.24385 N;010 22.45788 E;32.681;60.5;161.15;12973.8;10.0;-56.625;7.568;178.320;8.8;66673
$;01:04:33;10:50:06;04.10.2022;Y;09;53 52.22573 N;010 22.47341 E;40.133;74.3;147.25;12982.8;9.875;-57.0;7.599;178.39;8.8;66673
$;01:04:35;10:50:08;04.10.2022;Y;09;53 52.20403 N;010 22.49567 E;47.743;88.4;153.77;12992.8;9.875;-56.750;7.607;177.850;8.8;66673
$;01:04:37;10:50:10;04.10.2022;Y;09;53 52.18123 N;010 22.51011 E;40.565;75.1;163.57;13002.2;9.750;-56.875;7.607;177.580;8.8;66673
$;01:04:39;10:50:12;04.10.2022;Y;09;53 52.16126 N;010 22.51951 E;35.701;66.1;163.23;13009.6;9.875;-56.750;7.614;177.300;8.8;66673
$;01:04:41;10:50:14;04.10.2022;Y;09;53 52.14153 N;010 22.53115 E;40.013;74.1;150.77;13018.8;9.875;-56.750;7.614;177.80;8.8;66673
$;01:04:43;10:50:16;04.10.2022;Y;09;53 52.11914 N;010 22.55136 E;49.552;91.7;155.10;13026.8;9.750;-56.750;7.629;176.699;8.8;66673
$;01:04:45;10:50:18;04.10.2022;Y;09;53 52.09308 N;010 22.56616 E;49.914;92.4;166.96;13035.3;9.875;-56.625;7.652;176.619;8.8;66673
$;01:04:47;10:50:20;04.10.2022;Y;09;53 52.06783 N;010 22.57300 E;43.049;79.7;172.48;13043.6;9.750;-56.625;7.683;176.300;8.8;66673
$;01:04:49;10:50:22;04.10.2022;Y;09;53 52.04702 N;010 22.58245 E;37.140;68.7;157.14;13053.0;9.750;-56.625;7.721;176.119;8.8;66673
$;01:04:51;10:50:24;04.10.2022;Y;09;53 52.02826 N;010 22.59998 E;40.314;74.6;149.49;13060.6;9.750;-56.500;7.706;175.800;8.8;66673
$;01:04:53;10:50:26;04.10.2022;Y;09;53 52.00673 N;010 22.61515 E;43.906;81.3;164.73;13070.3;9.625;-56.500;7.751;175.429;8.8;66673
$;01:04:55;10:50:28;04.10.2022;Y;09;53 51.98216 N;010 22.62218 E;45.550;84.3;172.58;13080.0;9.625;-56.375;7.782;175.199;8.8;66673
$;01:04:57;10:50:30;04.10.2022;Y;09;53 51.95865 N;010 22.63183 E;41.927;77.6;160.99;13091.6;9.625;-56.500;7.774;174.789;8.8;66673
$;01:04:59;10:50:32;04.10.2022;Y;09;53 51.93928 N;010 22.64809 E;36.513;67.6;148.69;13100.0;9.625;-56.500;7.782;174.649;8.8;66673
$;01:05:01;10:50:34;04.10.2022;Y;09;53 51.92201 N;010 22.66259 E;35.255;65.2;160.37;13110.4;9.625;-56.375;7.813;174.330;8.8;66673
$;01:05:03;10:50:36;04.10.2022;Y;09;53 51.89990 N;010 22.67035 E;46.872;86.8;172.45;13119.6;9.625;-56.500;7.797;174.0;8.8;66673
$;01:05:05;10:50:38;04.10.2022;Y;09;53 51.87322 N;010 22.67887 E;49.386;91.4;165.26;13128.7;9.500;-56.375;7.820;173.820;8.8;66673
$;01:05:07;10:50:40;04.10.2022;Y;09;53 51.85027 N;010 22.69557 E;41.665;77.1;149.60;13138.9;9.625;-56.250;7.851;173.460;8.8;66673
$;01:05:09;10:50:42;04.10.2022;Y;09;53 51.83146 N;010 22.71372 E;38.600;71.4;153.43;13148.7;9.500;-56.250;7.835;173.270;8.8;66673
$;01:05:11;10:50:44;04.10.2022;Y;09;53 51.80952 N;010 22.72472 E;43.971;81.4;169.21;13159.6;9.625;-56.125;7.851;172.990;8.8;66673
$;01:05:13;10:50:46;04.10.2022;Y;09;53 51.78497 N;010 22.73089 E;43.945;81.3;171.61;13169.4;9.500;-56.375;7.858;172.759;8.8;66673
$;01:05:15;10:50:48;04.10.2022;Y;09;53 51.76317 N;010 22.73970 E;38.435;71.1;162.11;13180.6;9.500;-56.125;7.866;172.389;8.8;66673
$;01:05:17;10:50:50;04.10.2022;Y;09;53 51.74221 N;010 22.75365 E;43.455;80.4;157.52;13190.2;9.500;-56.250;7.881;172.160;8.8;66673
$;01:05:19;10:50:52;04.10.2022;Y;09;53 51.71844 N;010 22.76601 E;45.240;83.7;168.37;13201.5;9.375;-56.250;7.874;171.830;8.8;66673
$;01:05:21;10:50:54;04.10.2022;Y;09;53 51.69656 N;010 22.77020 E;34.767;64.3;176.98;13214.0;9.500;-56.250;7.858;171.410;8.8;66673
$;01:05:23;10:50:56;04.10.2022;Y;09;53 51.68005 N;010 22.77331 E;27.247;50.4;168.76;13224.1;9.375;-56.250;7.843;171.220;8.8;66673
$;01:05:25;10:50:58;04.10.2022;Y;09;53 51.66560 N;010 22.78013 E;28.785;53.3;162.35;13234.3;9.375;-56.375;7.851;170.940;8.8;66673
$;01:05:27;10:51:00;04.10.2022;Y;09;53 51.64717 N;010 22.78912 E;39.835;73.7;164.72;13244.2;9.375;-56.375;7.843;170.710;8.8;66673
$;01:05:29;10:51:02;04.10.2022;Y;09;53 51.62279 N;010 22.79986 E;48.684;90.1;165.71;13252.2;9.250;-56.375;7.828;170.419;8.8;66673
$;01:05:31;10:51:04;04.10.2022;Y;09;53 51.59894 N;010 22.81126 E;40.161;74.3;162.32;13262.0;9.375;-56.375;7.820;170.139;8.8;66673
$;01:05:33;10:51:06;04.10.2022;Y;09;53 51.58206 N;010 22.82151 E;26.551;49.1;159.49;13273.0;9.250;-56.375;7.835;169.960;8.8;66673
$;01:05:35;10:51:08;04.10.2022;Y;09;53 51.56774 N;010 22.82867 E;29.192;54.0;169.17;13282.8;9.250;-56.500;7.835;169.669;8.8;66673
$;01:05:37;10:51:10;04.10.2022;Y;09;53 51.54838 N;010 22.83262 E;39.827;73.7;173.51;13293.1;9.375;-56.375;7.813;169.350;8.8;66673
$;01:05:39;10:51:12;04.10.2022;Y;09;53 51.52625 N;010 22.84073 E;41.244;76.3;161.10;13301.5;9.250;-56.375;7.813;169.199;8.8;66673
$;01:05:41;10:51:14;04.10.2022;Y;09;53 51.50786 N;010 22.85742 E;34.736;64.3;145.46;13311.0;9.125;-56.375;7.805;168.820;8.7;66673
$;01:05:43;10:51:16;04.10.2022;Y;09;53 51.49278 N;010 22.87245 E;29.579;54.7;156.79;13320.9;9.125;-56.375;7.828;168.589;8.8;66673
$;01:05:45;10:51:18;04.10.2022;Y;09;53 51.47521 N;010 22.87909 E;36.496;67.5;171.35;13331.0;9.125;-56.500;7.797;168.320;8.8;66673
$;01:05:47;10:51:20;04.10.2022;Y;09;53 51.45292 N;010 22.88831 E;45.222;83.7;160.45;13339.7;9.125;-56.250;7.797;168.130;8.8;66673
$;01:05:49;10:51:22;04.10.2022;Y;09;53 51.43160 N;010 22.90751 E;40.689;75.3;146.60;13349.7;9.250;-56.375;7.797;167.889;8.8;66673
$;01:05:51;10:51:24;04.10.2022;Y;09;53 51.41565 N;010 22.92422 E;28.179;52.1;153.42;13359.2;9.125;-56.375;7.820;167.660;8.8;66673
$;01:05:53;10:51:26;04.10.2022;Y;09;53 51.40023 N;010 22.93131 E;32.097;59.4;170.19;13369.2;9.125;-56.375;7.820;167.289;8.8;66673
$;01:05:55;10:51:28;04.10.2022;Y;09;53 51.37919 N;010 22.94071 E;44.866;83.0;161.02;13379.8;9.0;-56.375;7.813;167.100;8.8;66673
$;01:05:57;10:51:30;04.10.2022;Y;09;53 51.35681 N;010 22.95873 E;42.779;79.2;150.04;13389.0;9.125;-56.250;7.813;166.820;8.8;66673
$;01:05:59;10:51:32;04.10.2022;Y;09;53 51.33965 N;010 22.97571 E;30.927;57.2;151.93;13398.5;8.875;-56.250;7.851;166.589;8.8;66673
$;01:06:01;10:51:34;04.10.2022;Y;09;53 51.32325 N;010 22.98557 E;34.526;63.9;165.16;13407.7;9.0;-56.375;7.835;166.320;8.8;66673
$;01:06:03;10:51:36;04.10.2022;Y;09;53 51.30195 N;010 22.99638 E;44.135;81.7;161.00;13416.9;9.0;-56.375;7.820;166.130;8.8;66673
$;01:06:05;10:51:38;04.10.2022;Y;09;53 51.28055 N;010 23.01289 E;40.039;74.1;150.58;13425.1;9.0;-56.250;7.843;165.899;8.8;66673
$;01:06:07;10:51:40;04.10.2022;Y;09;53 51.26450 N;010 23.03095 E;31.512;58.3;144.06;13434.2;8.875;-56.250;7.874;165.669;8.8;66673
$;01:06:09;10:51:42;04.10.2022;Y;09;53 51.25000 N;010 23.04796 E;33.488;62.0;146.94;13441.6;9.0;-56.250;7.866;165.479;8.8;66673
$;01:06:11;10:51:44;04.10.2022;Y;09;53 51.23088 N;010 23.06614 E;44.717;82.8;152.61;13451.7;8.875;-56.250;7.874;165.199;8.8;66673
$;01:06:13;10:51:46;04.10.2022;Y;09;53 51.20748 N;010 23.08435 E;46.762;86.6;158.79;13461.1;9.0;-56.250;7.904;165.20;8.8;66673
$;01:06:15;10:51:48;04.10.2022;Y;09;53 51.18506 N;010 23.09704 E;39.472;73.1;162.73;13470.6;8.875;-56.250;7.866;164.649;8.7;66673
$;01:06:17;10:51:50;04.10.2022;Y;09;53 51.16537 N;010 23.11071 E;39.160;72.5;152.38;13480.5;8.875;-56.375;7.874;164.320;8.8;66673
$;01:06:19;10:51:52;04.10.2022;Y;09;53 51.14521 N;010 23.13137 E;45.467;84.2;147.76;13489.6;8.875;-56.250;7.896;164.190;8.8;66673
$;01:06:21;10:51:54;04.10.2022;Y;09;53 51.12334 N;010 23.15065 E;43.685;80.9;157.28;13500.3;8.750;-56.375;7.904;163.949;8.8;66673
$;01:06:23;10:51:56;04.10.2022;Y;09;53 51.10134 N;010 23.16436 E;42.443;78.6;160.90;13510.1;8.750;-56.375;7.881;163.669;8.8;66673
$;01:06:25;10:51:58;04.10.2022;Y;09;53 51.07921 N;010 23.18067 E;44.451;82.3;152.74;13521.6;8.875;-56.250;7.874;163.440;8.8;66673
$;01:06:27;10:52:00;04.10.2022;Y;09;53 51.05892 N;010 23.20136 E;40.593;75.1;146.39;13531.0;8.750;-56.375;7.889;163.210;8.8;66673
$;01:06:29;10:52:02;04.10.2022;Y;09;53 51.04118 N;010 23.21895 E;35.873;66.4;154.69;13541.0;8.625;-56.250;7.904;162.839;8.8;66673
$;01:06:31;10:52:04;04.10.2022;Y;09;53 51.02045 N;010 23.23046 E;43.631;80.8;166.14;13550.8;8.625;-56.375;7.889;162.419;8.8;66673
$;01:06:33;10:52:06;04.10.2022;Y;09;53 50.99546 N;010 23.24215 E;48.039;88.9;162.42;13561.1;8.625;-56.250;7.889;162.279;8.8;66673
$;01:06:35;10:52:08;04.10.2022;Y;09;53 50.97307 N;010 23.25703 E;38.763;71.7;154.68;13570.8;8.625;-56.250;7.904;162.50;8.8;66673
$;01:06:37;10:52:10;04.10.2022;Y;09;53 50.95653 N;010 23.27064 E;30.160;55.8;154.56;13580.5;8.625;-56.125;7.896;161.910;8.8;66673
$;01:06:39;10:52:12;04.10.2022;Y;09;53 50.93914 N;010 23.28017 E;37.371;69.2;166.99;13590.1;8.625;-56.125;7.904;161.539;8.8;66673
$;01:06:41;10:52:14;04.10.2022;Y;09;53 50.91599 N;010 23.28909 E;45.903;85.0;166.08;13599.0;8.625;-56.125;7.919;161.399;8.8;66673
$;01:06:43;10:52:16;04.10.2022;Y;09;53 50.89332 N;010 23.30285 E;40.398;74.8;154.24;13609.1;8.625;-56.0;7.927;161.130;8.8;66673
$;01:06:45;10:52:18;04.10.2022;Y;09;53 50.87629 N;010 23.31919 E;32.003;59.2;149.36;13617.8;8.500;-56.250;7.912;160.940;8.8;66673
$;01:06:47;10:52:20;04.10.2022;Y;09;53 50.86051 N;010 23.32956 E;31.710;58.7;169.04;13625.6;8.625;-56.125;7.904;160.750;8.7;66673
$;01:06:49;10:52:22;04.10.2022;Y;09;53 50.84058 N;010 23.33423 E;39.573;73.2;171.65;13634.8;8.500;-56.125;7.904;160.429;8.8;66673
$;01:06:51;10:52:24;04.10.2022;Y;09;53 50.81876 N;010 23.34683 E;43.169;79.9;152.39;13644.3;8.500;-56.125;7.904;160.199;8.8;66673
