Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
19.21; 60; 101810; 5; 433; 0

18.96; 60; 101806; 2; 417; 0

18.77; 61; 101805; 6; 442; 2

18.70; 61; 101729; 2; 414; 0

18.33; 60; 101563; 0; 400; 0

17.83; 61; 101356; 0; 400; 0

17.27; 61; 101122; 0; 400; 0

16.91; 62; 100840; 0; 403; 0

16.24; 64; 100569; 0; 403; 0

15.68; 66; 100226; 0; 400; 0

15.56; 66; 99911; 1; 408; 0

15.81; 66; 99614; 1; 413; 0

16.36; 65; 99440; 3; 421; 0

13.98; 64; 98818; 3; 421; 0

16.87; 63; 99025; 2; 416; 0

16.45; 63; 98797; 0; 405; 0

15.64; 64; 98605; 0; 400; 0

15.01; 65; 98395; 0; 405; 0

14.55; 66; 98191; 1; 408; 0

14.02; 68; 97925; 0; 400; 0

13.79; 68; 97688; 0; 406; 0

13.59; 69; 97432; 0; 403; 0

14.01; 68; 97188; 0; 400; 0

13.73; 66; 96952; 0; 400; 0

13.23; 66; 96713; 1; 408; 0

13.44; 65; 96492; 1; 413; 0

13.50; 65; 96270; 2; 417; 0

13.82; 64; 96033; 3; 422; 0

13.55; 64; 95816; 2; 417; 0

13.62; 65; 95599; 6; 445; 0

13.61; 65; 95395; 5; 435; 0

13.67; 65; 95177; 7; 450; 0

14.06; 64; 94949; 3; 422; 0

14.18; 63; 94746; 6; 443; 0

13.37; 63; 94531; 1; 413; 0

13.06; 63; 94306; 1; 408; 0

12.92; 63; 94087; 1; 409; 0

12.84; 64; 93877; 1; 409; 0

12.43; 64; 93659; 1; 409; 0

12.20; 65; 93446; 0; 405; 0

12.23; 65; 93226; 1; 409; 0

12.02; 65; 93023; 0; 400; 0

10.99; 65; 92710; 0; 403; 0

11.55; 64; 92573; 0; 400; 0

11.57; 64; 92357; 2; 414; 0

11.32; 64; 92149; 0; 400; 0

11.04; 64; 91912; 0; 400; 0

11.05; 63; 91688; 1; 407; 0

11.18; 64; 91471; 2; 418; 0

10.76; 64; 91247; 0; 405; 1

10.50; 64; 91018; 0; 400; 0

10.54; 64; 90793; 0; 405; 0

10.40; 64; 90566; 0; 403; 0

10.09; 64; 90341; 0; 403; 0

10.12; 65; 90117; 1; 410; 0

10.14; 67; 89903; 6; 444; 0

9.65; 67; 89673; 4; 428; 0

9.63; 67; 89450; 0; 403; 0

9.58; 66; 89232; 1; 409; 0

9.26; 66; 88994; 1; 409; 0

9.51; 65; 88775; 1; 413; 0

9.50; 67; 88553; 5; 433; 0

9.19; 66; 88319; 1; 409; 0

9.22; 66; 88091; 3; 420; 0

9.39; 65; 87887; 0; 400; 0

8.94; 61; 87648; 0; 400; 0

9.51; 56; 87426; 3; 422; 0

9.53; 50; 87189; 0; 400; 0

9.93; 41; 86973; 0; 400; 0

10.26; 36; 86749; 4; 432; 0

10.40; 34; 86526; 0; 403; 0

10.33; 31; 86305; 0; 400; 0

11.06; 30; 86103; 6; 445; 0

11.62; 29; 85877; 12; 481; 0

11.24; 29; 85664; 14; 492; 0

11.42; 29; 85468; 14; 492; 0

12.24; 28; 85239; 17; 517; 0

12.46; 30; 85026; 52; 744; 0

12.64; 33; 84819; 66; 836; 0

12.39; 37; 84596; 100; 1062; 0

13.02; 38; 84386; 111; 1131; 0

12.64; 39; 84183; 111; 1131; 0

13.12; 38; 83971; 103; 1077; 0

12.63; 38; 83748; 97; 1038; 0

12.91; 37; 83563; 92; 1004; 0

12.49; 36; 83346; 81; 935; 0

12.90; 32; 83137; 54; 761; 0

12.79; 35; 82931; 103; 1077; 0

12.79; 37; 82722; 113; 1144; 0

12.60; 39; 82509; 117; 1171; 0

12.92; 40; 82321; 138; 1307; 1

12.84; 41; 82099; 131; 1266; 0

13.30; 41; 81908; 142; 1338; 0

12.89; 42; 81686; 142; 1338; 0

12.55; 43; 81472; 140; 1321; 0

12.38; 43; 81284; 140; 1321; 1

12.05; 43; 81056; 138; 1307; 0

12.32; 43; 80847; 140; 1321; 1

12.16; 44; 80610; 140; 1321; 0

11.15; 46; 80417; 134; 1281; 0

11.06; 47; 80209; 138; 1307; 0

10.14; 48; 80011; 131; 1266; 0

10.08; 49; 79811; 134; 1281; 0

10.43; 47; 79600; 124; 1220; 0

10.37; 46; 79389; 120; 1191; 0

10.83; 45; 79179; 124; 1220; 0

10.68; 45; 78986; 124; 1220; 0

10.70; 45; 78764; 124; 1220; 0

9.72; 46; 78555; 113; 1144; 0

9.72; 46; 78364; 115; 1156; 0

8.99; 47; 78165; 111; 1131; 0

8.38; 47; 77950; 103; 1077; 0

8.01; 47; 77705; 97; 1038; 0

7.80; 46; 77491; 88; 981; 0

